cluster1	cluster2	cluster3	cluster4	cluster5	cluster6  
MTG2	S100PBP	PANDAR	LINC01780		SLC25A28
MTMR14	SAA4	PAPSS1	LINC01806		SLC25A32
MTNR1A	SALRNA3	PARD3	LINC01842		SLC25A33
MTO1	SAMD14	PARD6G	LINC01876		SLC25A36
MTRF1	SAMD3	PARL	LINC01905		SLC25A44
MTRNR2L2	SAMD4A	PARP12	LINC01918		SLC26A4-AS1
MTRNR2L4	SAP30BP	PARP16	LINC01963		SLC27A1
MTTP	SAP30L	PARPBP	LINC01964		SLC28A2
MTX1	SARDH	PARS2	LINC01969		SLC2A14
MUC13	SBNO2	PART1	LINC01988		SLC2A2
MUC15	SCAMP1-AS1	PARVG	LINC02036		SLC2A3
MUC19	SCAP	PATJ	LINC02044		SLC2A5
MUC4	SCAT1	PATL1	LINC02080		SLC2A7
MUC5B	SCD5	PAX8	LINC02101		SLC30A1
MUC5B-AS1	SCFD1	PAXIP1	LINC02104		SLC30A10
MUCL1	SCGB3A2	PAXIP1-AS1	LINC02121		SLC34A2
MX1	SCNN1D	PAXIP1-AS2	LINC02154		SLC35A5
MXRA5	SCRN2	PBK	LINC02182		SLC35E4
MXRA7	SCRN3	PBLD	LINC02210		SLC35F2
MXRA8	SDHA	PBRM1	LINC02231		SLC35F5
MYADML	SDHAF4	PCAT1	LINC02246		SLC35G5
MYBL2	SDHB	PCBP1	LINC02315		SLC46A3
MYCL	SDK2	PCDH11X	LINC02389		SLC47A2
MYCN	SDR42E1	PCDH15	LINC02449		SLC4A1AP
MYCT1	SDS	PCDHGA2	LINC02525		SLC5A2
MYDGF	SDSL	PCDHGA6	LINC02551		SLC6A10P
MYF5	SEC14L5	PCDHGA7	LINC02552		SLC6A12
MYH14	SEC14L6	PCDHGA9	LINC02562		SLC6A3
MYH9	SEC16A	PCDHGB3	LINC02570		SLC9A3R2
MYL2	SEC16B	PCDHGB5	LINC02585		SLC9C2
MYL3	SEC22C	PCDHGC4	LINC02595		SLFN12L
MYL5	SEC23B	PCF11	LINC02610		SLFN13
MYLPF	SELENOF	PCGF1	LINC02612		SLMAP
MYO1B	SELENOK	PCGF5	LINP1		SMARCA5
MYO1G	SELENOS	PCGF6	LIPA		SMC4
MYO9B	SEMA3B-AS1	PCID2	LIPI		SMCO1
MYORG	SEMA3E	PCIF1	LITAF		SMCO3
MYT1L-AS1	SENCR	PCM1	LMAN2		SMG1P1
MZF1	SENP8	PCMTD1	LMCD1		SMG1P7
N4BP2	SEPSECS	PCMTD2	LMCD1-AS1		SMG6
NAA38	SEPT7-AS1	PCNA	LMNB2		SMG7-AS1
NAA50	SERF1A	PCNA-AS1	LMOD1		SMIM10L2B
NACA4P	SERF1A.1	PCNX4	LNCPRESS1		SMIM15
NADK	SERHL2	PCOLCE2	LNCPRESS2		SMIM27
NAF1	SERINC4	PCP4L1	LNP1		SMIM40
NAGA	SERPINA6	PCSK5	LOC100126447		SMNDC1
NAPB	SERPINB12	PCSK9	LOC100128288		SMU1
NAPG	SERPINB5	PDCD7	LOC100128361		SMYD1
NAT16	SERPINB9P1	PDE1C	LOC100128398		SNAI1
NATD1	SERPINE2	PDE3A	LOC100128531		SNAPC4
NAV2-AS4	SERPINE3	PDE4D	LOC100129034		SNAPC5
NAV2-AS5	SETD1B	PDE7A	LOC100129620		SNAR-F
NBAS	SETD6	PDE7B	LOC100130111		SNAR-H
NBPF22P	SETDB2	PDE8A	LOC100130283		SNHG1
NBPF3	SF3A1	PDE8B	LOC100130950		SNHG10
NCAPH2	SF3A3	PDIK1L	LOC100131496		SNHG15
NCCRP1	SF3B4	PDK1	LOC100133286		SNHG21
NCF1B	SFRP4	PDPR	LOC100133315		SNHG26
NCKAP1	SGCD	PDXDC1	LOC100270746		SNHG3
NCKAP1L	SGF29	PDZD2	LOC100272217		SNHG30
NCLN	SGK2	PDZD9	LOC100287015		SNHG8
NCMAP	SGPP2	PDZRN3	LOC100287808		SNHG9
NCOA4	SH2D4A	PDZRN3-AS1	LOC100287944		SNIP1
NCOA7	SH3BGR	PELI1	LOC100288175		SNORA1
NCOA7-AS1	SH3GL2	PELI2	LOC100288798		SNORA10
NCRUPAR	SH3GL3	PER2	LOC100289561		SNORA104
NCSTN	SH3GLB1	PER3	LOC100289656		SNORA12
NDC1	SHC1	PEX11A	LOC100294145		SNORA13
NDFIP1	SHC2	PEX13	LOC100310756		SNORA18
NDOR1	SHD	PEX3	LOC100419583		SNORA19
NDP	SHISA8	PEX5	LOC100420587		SNORA20
NDRG2	SHISAL1	PFKFB1	LOC100505501		SNORA21
NDUFA10	SHLD1	PFKFB2	LOC100505555		SNORA23
NDUFA12	SIAH3	PFN3	LOC100505622		SNORA24
NDUFA13	SIGLEC10	PGA5	LOC100505716		SNORA28
NDUFA9	SIGLEC15	PGAP1	LOC100505795		SNORA29
NDUFAB1	SIGLEC7	PGGT1B	LOC100505797		SNORA31
NDUFAF1	SIK1B	PGLYRP1	LOC100505938		SNORA33
NDUFB10	SIL1	PGM5	LOC100505978		SNORA4
NDUFB11	SIRT3	PGM5P4	LOC100506098		SNORA40
NDUFB2	SIRT4	PHACTR1	LOC100506124		SNORA46
NDUFB2-AS1	SIRT6	PHACTR3	LOC100506175		SNORA48
NDUFB7	SIRT7	PHC2	LOC100506639		SNORA49
NDUFB9	SKP1P2	PHEX	LOC100506990		SNORA51
NDUFS3	SLA2	PHF1	LOC100507002		SNORA57
NDUFS7	SLC10A3	PHF12	LOC100507507		SNORA58
NDUFV1	SLC10A4	PHF13	LOC100507547		SNORA5A
NEAT1	SLC13A1	PHF2	LOC100652768		SNORA61
NECAB3	SLC13A4	PHF20	LOC100996664		SNORA62
NECTIN2	SLC14A1	PHF6	LOC100996842		SNORA63
NECTIN4	SLC14A2	PHF7	LOC101926889		SNORA63C
NEDD9	SLC14A2-AS1	PHF8	LOC101927045		SNORA67
NELFCD	SLC15A4	PHKA2	LOC101927069		SNORA74B
NENF	SLC16A12	PHLPP1	LOC101927151		SNORA75
NET1	SLC16A5	PHOSPHO2	LOC101927190		SNORA77B
NEU1	SLC16A8	PHTF1	LOC101927245		SNORA7A
NEU2	SLC22A18AS	PHTF2	LOC101927359		SNORA8
NEURL2	SLC22A2	PHYHIPL	LOC101927437		SNORA80A
NEURL4	SLC22A20P	PI4KB	LOC101927497		SNORA80B
NEUROD2	SLC22A5	PIAS1	LOC101927657		SNORA80E
NEUROG3	SLC22A9	PIAS2	LOC101927668		SNORA81
NEXMIF	SLC24A2	PIAS4	LOC101927699		SNORA9
NF2	SLC24A4	PIBF1	LOC101927746		SNORD102
NFATC2IP	SLC25A12	PID1	LOC101927751		SNORD116-16
NFE2	SLC25A19	PIGF	LOC101927752		SNORD116-24
NFE2L1	SLC25A25	PIK3C2A	LOC101928000		SNORD118
NFE2L3	SLC25A26	PIK3C2B	LOC101928126		SNORD133
NFIA-AS2	SLC25A48	PIK3CA	LOC101928168		SNORD137
NFIL3	SLC25A52	PIK3R1	LOC101928177		SNORD21
NFKBIZ	SLC26A11	PIK3R3	LOC101928279		SNORD23
NFS1	SLC29A3	PIKFYVE	LOC101928358		SNORD24
NHEG1	SLC29A4	PIP4K2A	LOC101928453		SNORD35A
NID1	SLC30A3	PIP4K2C	LOC101928504		SNORD35B
NIM1K	SLC30A8	PIP5K1C	LOC101928516		SNORD46
NIPAL1	SLC31A2	PIRT	LOC101928525		SNORD57
NIPAL4	SLC35A2	PITHD1	LOC101928651		SNORD63
NIPSNAP3B	SLC35D2	PITPNA-AS1	LOC101928659		SNORD66
NIT2	SLC35F4	PITRM1	LOC101928674		SNORD70B
NKAP	SLC35G2	PIWIL1	LOC101928718		SNORD76
NKAPL	SLC37A2	PIWIL2	LOC101928847		SNORD81
NLRP2B	SLC38A8	PJA2	LOC101928865		SNORD90
NLRP3	SLC39A11	PKHD1	LOC101928882		SNORD94
NLRP7	SLC39A3	PLA2G4F	LOC101928909		SNRNP27
NMBR	SLC3A1	PLAA	LOC101928961		SNRNP35
NME2	SLC41A3	PLAAT3	LOC101929054		SNRNP48
NME6	SLC45A1	PLAAT5	LOC101929095		SNRPA1
NMI	SLC4A10	PLAC1	LOC101929457		SNRPB2
NMRAL2P	SLC4A3	PLAG1	LOC101929579		SNRPC
NMUR1	SLC51B	PLAGL1	LOC101929657		SNRPD1
NNMT	SLC5A12	PLAGL2	LOC101929709		SNRPD2P2
NNT	SLC5A9	PLB1	LOC101929718		SNRPD3
NNT-AS1	SLC6A17	PLCG2	LOC101929798		SNU13
NOA1	SLC6A20	PLCH1	LOC101930085		SNUPN
NOG	SLC6A6	PLCL1	LOC102606465		SNX16
NOMO1	SLC6A9	PLD1	LOC102723345		SNX18
NOS2	SLC7A14-AS1	PLEK	LOC102723493		SOAT2
NOS3	SLC8A1-AS1	PLEKHA1	LOC102724094		SOCS4
NPAS4	SLC9A3	PLEKHA3	LOC102724135		SOD3
NPEPPS	SLC9A8	PLEKHA5	LOC102724301		SON
NPFFR2	SLC9A9	PLEKHA8P1	LOC102724378		SOX21
NPHS1	SLC9A9-AS1	PLEKHB1	LOC102724467		SP100
NPIPA1	SLC9B1	PLEKHF2	LOC102724532		SP2-AS1
NPIPA2	SLC9C1	PLEKHG1	LOC102724593		SP3
NPIPA2.1	SLCO3A1	PLG	LOC102724719		SPACA3
NPIPA3	SLCO4A1	PLGRKT	LOC102725072		SPAG1
NPIPA3.1	SLCO4A1-AS1	PLIN1	LOC103344931		SPAG17
NPIPA5	SLCO6A1	PLK3	LOC103611081		SPAG5-AS1
NPIPB12	SLITRK6	PLOD2	LOC103908605		SPAG8
NPIPB12.1	SLX4	PLPBP	LOC103908605.1		SPANXC
NPIPB13	SMAD6	PLPP6	LOC104968399		SPATA17
NPIPB15	SMARCA2	PLPPR2	LOC105274304		SPATA31D3
NPIPB3	SMARCAL1	PLS1	LOC105369306		SPATA31D5P
NPIPB5	SMARCB1	PLXNA4	LOC105369332		SPATA33
NPLOC4	SMARCD3	PLXNC1	LOC105369340		SPATA45
NPPA-AS1	SMCR2	PMS1	LOC105369391		SPATA5L1
NPTX1	SMIM13	PNLIPRP1	LOC105370333		SPCS3
NPTXR	SMIM2-AS1	PNMA8B	LOC105370489		SPDEF
NPY4R	SMIM31	PNPLA4	LOC105371083		SPDYE11
NPY4R2	SMIM38	PNPLA8	LOC105371267		SPDYE11.1
NPY6R	SMIM6	POC1B	LOC105371414		SPDYE11.2
NR0B2	SMIM9	POC5	LOC105371849		SPDYE11.3
NR1I2	SMN1	POGZ	LOC105372440		SPDYE11.4
NR2C2	SMN1.1	POLB	LOC105372483		SPESP1
NR4A1	SMN2	POLI	LOC105373156		SPG11
NR5A1	SMN2.1	POLN	LOC105373159		SPHAR
NR6A1	SMPD3	POLQ	LOC105374042		SPHK2
NRBP2	SMYD3	POLR2A	LOC105374338		SPINK4
NRDC	SMYD4	POLR2J	LOC105374454		SPINK5
NRG2	SNAI3	POLR2J2	LOC105374727		SPOCK2
NRGN	SNAP29	POLR2M	LOC105374988		SPRED3
NRN1	SNAP47	POLR3B	LOC105375401		SPTY2D1
NRROS	SNAPC2	POM121	LOC105375690		SPTY2D1OS
NRSN2	SNHG31	POM121C	LOC105376453		SRFBP1
NRXN2	SNORA2B	POMK	LOC105377102		SRGAP2C
NSMAF	SNORD141A	PON2	LOC105377621		SRP14
NSUN4	SNORD141A.1	PON3	LOC105377623		SRP54-AS1
NT5E	SNORD3A	POT1	LOC105378230		SRP9
NTF3	SNORD58B	POU4F1	LOC106660606		SRR
NTMT1	SNORD97	PPARA	LOC107984236		SRRT
NTN3	SNPH	PPARGC1A	LOC107985184		SRSF1
NTRK1	SNRK-AS1	PPEF1	LOC107986876		SRSF10
NUCB1	SNRPE	PPFIA1	LOC108783654		SRSF11
NUDT13	SNTA1	PPHLN1	LOC110117498-PIK3R3		SRSF5
NUDT4	SNTG2	PPIG	LOC112268114		SRSF8
NUDT4P2	SNTG2-AS1	PPIL2	LOC112694756		SSBP3-AS1
NUDT6	SNX1	PPIL4	LOC145474		SSH2
NUMBL	SNX15	PPIP5K1	LOC145783		SSR1
NUP188	SNX20	PPIP5K1P1-CATSPER2	LOC150051		SSSCA1-AS1
NUP205	SNX21	PPIP5K2	LOC150776		SST
NUP50	SNX29P1	PPM1A	LOC153910		SSX1
NUP50-DT	SNX29P2	PPM1E	LOC155060		SSX2
NUP62CL	SNX4	PPP1CB	LOC171391		SSX2.1
NUPR1	SOHLH1	PPP1R10	LOC200772		SSX2B
NUPR2	SOST	PPP1R12A	LOC254896		SSX2B.1
NUS1	SOX1	PPP1R14C	LOC283045		SSX3
NUTM2G	SOX15	PPP1R35	LOC283387		SSX6P
NXF2B	SOX5	PPP1R3A	LOC285095		SSX8P
NXF2B.1	SOX7	PPP1R3D	LOC285593		ST18
NXN	SPAAR	PPP1R9B	LOC285819		ST7-AS2
NXPH3	SPACA1	PPP2R5B	LOC344967		ST7-AS2.1
NYX	SPACA9	PPP2R5C	LOC388813		ST8SIA5
OAS2	SPANXA1	PPP2R5D	LOC389641		STAG3L1
OAZ1	SPANXA1.1	PPP3CA	LOC389906		STAG3L1.1
OAZ3	SPANXA2	PPP3CB	LOC391322		STAG3L2
OBSCN-AS1	SPANXA2.1	PPP4R4	LOC392232		STAG3L3
OCLN	SPATA16	PPP6C	LOC400464		STAG3L5P
ODAM	SPATA3	PPP6R1	LOC401261		STAG3L5P-PVRIG2P-PILRB
ODF3B	SPATA4	PPRC1	LOC403323		STARD9
ODR4	SPATA41	PPY	LOC440173		STAU2-AS1
OGDH	SPATA42	PQLC3	LOC441242		STIL
OGN	SPATA6	PRAC1	LOC554206		STIM1
OGT	SPATA6L	PRAMEF27	LOC642484		STK17B
OLR1	SPATA7	PRAMEF27.1	LOC642943		STOM
OMD	SPDYA	PRAMEF27.2	LOC643072		STPG2-AS1
OPA1-AS1	SPDYC	PRAMEF27.3	LOC644189		STPG3-AS1
OPA3	SPEF1	PRC1	LOC644215		STRN
OPN3	SPERT	PRCC	LOC644554		STX11
OPN4	SPHKAP	PRDM10	LOC644634		STX16-NPEPL1
OPRD1	SPINK2	PRDM2	LOC644656		STX1B
OPRK1	SPINT4	PRDM4	LOC645485		STX5
OPRL1	SPIRE2	PRELID2	LOC645967		STXBP5L
OR10K2	SPNS2	PREP	LOC646903		STYX
OR11H6	SPO11	PREPL	LOC648987		SUB1
OR13A1	SPPL2B	PRG3	LOC652276		SUGP1
OR13C9	SPPL3	PRICKLE2	LOC653160		SUGT1P3
OR1C1	SPR	PRICKLE2-AS1	LOC692247		SULT1B1
OR1J1	SPSB1	PRICKLE2-AS3	LOC728673		SULT1C3
OR1J2	SPTAN1	PRIM2	LOC728715		SULT2A1
OR2C1	SPTBN4	PRIMPOL	LOC728739		SULT6B1
OR2C3	SPTBN5	PRKACA	LOC728743		SUMO1P1
OR2D2	SQOR	PRKAG2-AS1	LOC728975		SUMO1P3
OR2L5	SRCIN1	PRKAR1A	LOC729218		SUPT4H1
OR2T2	SRD5A3-AS1	PRKAR2A	LOC729737		SUPT5H
OR2T27	SRGAP3-AS4	PRKAR2B	LOC729966		SUPT6H
OR2Z1	SRP14-AS1	PRKCG	LOC729970		SURF6
OR4K14	SRP19	PRKG2	LOC730098		SUSD1
OR4K2	SRP68	PRKRA	LOC730100		SUZ12
OR4N2	SRPX2	PRMT9	LOC730183		SYCP1
OR4N4	SRRM2-AS1	PROSER1	LOC93622		SYF2
OR51B4	SSMEM1	PROSER2	LOX		SYN1
OR51G1	SSNA1	PROSER3	LOXL1-AS1		SYS1-DBNDD2
OR51H1	SSTR3	PROX1	LOXL2		SYT10
OR51I1	SSTR5-AS1	PRPF3	LOXL3		SYTL5
OR51J1	SSUH2	PRPF40A	LPAR2		TAAR8
OR52A5	ST14	PRPS2	LPAR3		TAF11
OR52B6	ST3GAL4	PRR16	LPAR4		TAF13
OR52E4	ST3GAL5	PRRC1	LPAR6		TAF1B
OR52E5	ST3GAL6-AS1	PRSS1	LPIN3		TAF1C
OR52I1	ST7-OT3	PRSS22	LPL		TAF7
OR52L1	ST8SIA6-AS1	PRSS27	LPO		TAF7L
OR52Z1	STAB1	PRSS33	LPP		TAF9
OR5B2	STAB2	PRSS3P2	LPXN		TAFA3
OR5H14	STAG3	PRTN3	LRBA		TAL1
OR5K3	STARD5	PRUNE1	LRCH2		TAP2
OR5M11	STAT5A	PRUNE2	LRFN3		TARDBP
OR6C1	STEAP2-AS1	PSD3	LRFN4		TARM1
OR6J1	STIMATE	PSG10P	LRFN5		TAS1R1
OR6K2	STIMATE-MUSTN1	PSG11	LRP1		TAS2R14
OR7C2	STK19	PSG8-AS1	LRP10		TATDN2
OR7E156P	STK19.1	PSIP1	LRP11		TBC1D12
OR7G3	STK24-AS1	PSMA2	LRP8		TBC1D3
OR8D2	STK32A	PSMA5	LRR1		TBC1D3.1
OR8H3	STK32A-AS1	PSMD10	LRRC2		TBC1D3C
ORAI1	STK36	PSMD9	LRRC20		TBC1D3C.1
OS9	STK40	PTGFRN	LRRC23		TBC1D3E
OTOR	STOML1	PTK6	LRRC37A4P		TBC1D3E.1
OTUB2	STOML3	PTN	LRRC41		TBC1D3F
OTUD6B	STPG4	PTPN1	LRRC47		TBC1D3F.1
OVCA2	STRA8	PTPN13	LRRC56		TBC1D3F.2
OVCH1-AS1	STRADA	PTPN2	LRRC73		TBC1D3F.3
OVGP1	STRIP1	PTPN21	LRRC75B		TBC1D3H
OVOL1	STX17-AS1	PTPN3	LRRC9		TBC1D3H.1
OXER1	STX4	PTPRG	LRRCC1		TBC1D3H.2
OXGR1	STYK1	PTPRG-AS1	LRRN1		TBC1D3H.3
OXT	SUGT1P4-STRA6LP-CCDC180	PTPRH	LRRTM3		TBC1D3I
OXTR	SULF2	PTPRK	LRSAM1		TBC1D3L
P2RX7	SULT4A1	PTPRN2	LRTM2		TBC1D3L.1
P2RY12	SUN5	PTPRQ	LSAMP		TBC1D3P1-DHX40P1
P2RY13	SUPT20HL1	PTPRR	LSM2		TBL1Y
P2RY14	SUPT3H	PTTG1	LSM3		TBX1
P2RY2	SURF2	PTTG3P	LSM4		TBX15
P2RY4	SUSD4	PWP1	LSM5		TBX18
P2RY6	SUV39H2	PXK	LSMEM2		TCAF2
P4HB	SVBP	PXYLP1	LSR		TCEA3
PABPC1	SVEP1	PYGO2	LSS		TCEAL9
PABPC1P2	SVIL-AS1	QKI	LTBP3		TCEANC2
PACRG-AS3	SVOP	QSOX2	LTC4S		TCF23
PACSIN1	SWSAP1	R3HDM4	LUC7L		TCF24
PACSIN3	SYCE1	RAB20	LURAP1L		TCHH
PAFAH1B1	SYCE1L	RAB22A	LXN		TCP10L2
PAGE1	SYCP3	RAB23	LY6E		TCTE3
PAGE2	SYNC	RAB27B	LY6G5B		TDRG1
PAGE4	SYNE1-AS1	RAB28	LY6G5C		TEDDM1
PAGE5	SYNGR3	RAB29	LY6H		TEF
PAK3	SYNGR4	RAB30	LY75		TEFM
PANK3	SYNJ2BP-COX16	RAB3A	LY96		TEKT4P2
PANK4	SYPL2	RAB3GAP1	LYNX1-SLURP2		TENT5A
PANTR1	SYT17	RAB3GAP2	LYPD6B		TEP1
PAPPA2	TACR3	RAB5B	LYPLA1		TEPP
PAQR3	TAF1A-AS1	RAB6D	LYPLA2		TERC
PAQR4	TAF8	RABEP1	LYRM1		TERF2IP
PAQR6	TAF9B	RABGAP1	LYRM2		TESK2
PAQR8	TAFA2	RAC2	LYRM4		TESPA1
PARD6B	TAFA4	RAD17	LYRM4-AS1		TEX101
PARD6G-AS1	TAGAP	RAD50	LYSMD2		TEX12
PARM1	TANK	RAD51AP1	LYVE1		TEX13C
PAX1	TAOK2	RAD51L3-RFFL	LZTR1		TEX22
PAX5	TARID	RAD54B	LZTS2		TEX37
PAX6-AS1	TAT-AS1	RAD54L2	LZTS3		TEX45
PAX8-AS1	TBC1D10A	RAD9B	M6PR		TEX46
PAXX	TBC1D10B	RADIL	MAB21L4		TEX49
PBX4	TBC1D2	RAET1G	MACC1-AS1		TFAM
PBXIP1	TBC1D22A	RAI14	MACF1		TFAP2A-AS2
PCA3	TBC1D25	RALA	MACROD1		TFAP2C
PCAT14	TBC1D30	RALGPS2	MAD2L2		TFB2M
PCAT5	TBC1D8	RALYL	MADCAM1		TFCP2
PCBP2-OT1	TBCC	RANBP9	MAEA		TFIP11
PCBP3	TBCCD1	RAP2B	MAF		TFPT
PCDH17	TBPL2	RAPGEF6	MAF1		TGFB2
PCDHB6	TCAF2P1	RARB	MAFA-AS1		TGFB2-AS1
PCDHGA4	TCAF2P1.1	RASA1	MAFTRR		TGOLN2
PCDHGA5	TCAM1P	RASA3	MAGEB17		TGS1
PCDHGB6	TCEA2	RASEF	MAGED1		THAP1
PCDHGC5	TCF15	RASGRP4	MAGED2		THAP11
PCED1B-AS1	TCF3	RASL11A	MAGEF1		THAP12
PCF11-AS1	TCF7L1-IT1	RASSF3	MAGEH1		THAP6
PCGF2	TCP10L	RASSF5	MAGEL2		THCAT158
PCNT	TCTEX1D2	RAVER1	MAGI1-AS1		THEGL
PCNX1	TCTEX1D4	RAVER2	MAGOH2P		THSD4-AS2
PCNX3	TCTN1	RB1	MAGOHB		THUMPD3-AS1
PCP2	TDRD12	RBAKDN	MAGT1		TIA1
PCSK4	TDRKH-AS1	RBBP5	MAIP1		TIAL1
PCSK6	TEAD3	RBBP7	MAL2		TICAM2
PCSK6-AS1	TEKT1	RBBP8	MALL		TIGAR
PCSK7	TEKT4	RBL2	MAMDC2		TIGD4
PCYOX1	TEKT5	RBM11	MAN1B1		TIGD6
PDCD11	TENT5B	RBM12B	MAN2C1		TIMM10B
PDCD1LG2	TESC	RBM17	MANBAL		TIMM23B
PDCD6IP	TESK1	RBM18	MANF		TIMM8A
PDCL2	TESMIN	RBM20	MAOA		TIPIN
PDCL3P4	TET2-AS1	RBM22	MAOB		TLCD2
PDE4C	TEX10	RBM26	MAP1B		TLK2
PDGFRA	TEX13D	RBM27	MAP1LC3A		TLR8
PDHA1	TEX28	RBM33	MAP2K5		TM4SF1-AS1
PDS5A	TEX29	RBM38	MAP3K14-AS1		TMBIM6
PDSS2	TEX30	RBM46	MAP3K21		TMCO1
PDXK	TEX35	RBM4B	MAP3K7		TMCO5B
PEG13	TFAP2B	RC3H1	MAP4		TMED10P1
PEG3	TFAP2E	RCAN1	MAP4K4		TMED7-TICAM2
PEMT	TFE3	RCAN2	MAP6		TMEM126A
PERM1	TFR2	RCBTB2	MAP7D3		TMEM139
PEX16	TGFA	RCOR1	MAPK13		TMEM159
PFDN6	TGM7	RDH10	MAPK15		TMEM167A
PFKFB4	TH	RDX	MAPK6-DT		TMEM167B
PFKL	THAP4	REEP2	MAPK8IP1		TMEM174
PFKP	THAP7	REL	MAPKAPK3		TMEM184C
PGAM4	THAP8	REPS2	MARCKSL1		TMEM185A
PGAM5	THBS3	RERE	MARS		TMEM208
PGC	THEM6	REREP3	MARS2		TMEM209
PGF	THRSP	RERG	MARVELD1		TMEM234
PGK2	THYN1	RERG-AS1	MARVELD3		TMEM236
PGM1	TIAF1	RESF1	MASP1		TMEM236.1
PGM2	TIGD7	RETREG1	MAST1		TMEM238
PGR	TIMD4	REV1	MAT2A		TMEM251
PHB	TIMM9	REXO1	MATN3		TMEM254-AS1
PHETA1	TINF2	REXO2	MATN4		TMEM263
PHF24	TK2	RFC1	MAVS		TMEM267
PHIP	TLE2	RFESD	MB		TMEM269
PHKA1	TLE4	RFFL	MBLAC2		TMEM30A
PHKA1-AS1	TLE6	RGS16	MBOAT1		TMEM31
PHKG1	TLR2	RGS2	MBOAT7		TMEM41B
PHKG2	TLR4	RGS7	MBTPS2		TMEM56-RWDD3
PHLDA2	TLR5	RHBDD1	MCCC2		TMEM68
PHLDA3	TLX2	RHBDL2	MCF2L-AS1		TMEM71
PHLDB2	TLX3	RHEBL1	MCFD2		TMEM75
PHLDB3	TM4SF19	RHOBTB2	MCHR1		TMEM92
PHOSPHO2-KLHL23	TMC2	RHOBTB3	MCM4		TMEM99
PHOX2A	TMC3	RHOT1	MCM5		TMIGD3
PHPT1	TMCC2	RHPN2	MCM6		TMOD4
PHYKPL	TMCO2	RIOK1	MCM7		TMPO
PI15	TMEFF2	RIOK2	MCRIP1		TMPRSS11A
PI16	TMEM104	RIOX2	MCRS1		TMPRSS11B
PI4KA	TMEM107	RIPK3	MCU		TMTC1
PI4KAP1	TMEM11	RIPOR2	MDC1		TMUB2
PI4KAP2	TMEM115	RIPOR3	MDFIC		TMX2-CTNND1
PIFO	TMEM116	RIT2	MDH1		TNFAIP8L2
PIGB	TMEM120B	RMC1	MDH1B		TNFAIP8L2-SCNM1
PIGG	TMEM132B	RMI1	MDK		TNFRSF19
PIGL	TMEM132D	RMND5A	MDN1		TNFSF9
PIGR	TMEM134	RN7SL2	MDP1		TNNC2
PIK3R5	TMEM138	RNF10	ME2		TNNI3
PINK1	TMEM171	RNF111	MEA1		TNRC18P1
PINK1-AS	TMEM175	RNF135	MEAK7		TOMM20L
PIR	TMEM18	RNF14	MECR		TOMM5
PIR-FIGF	TMEM185B	RNF144B	MED14OS		TOP3A
PITPNC1	TMEM187	RNF145	MED22		TOPORS
PITPNM2	TMEM189	RNF150	MED24		TOR1AIP2
PITRM1-AS1	TMEM198B	RNF157	MED27		TOR1B
PITX1	TMEM201	RNF170	MED9		TOX4
PITX2	TMEM204	RNF180	MEGF6		TP53BP2
PITX3	TMEM206	RNF19A	MEIS3P1		TP53TG3D
PIWIL4	TMEM215	RNF20	MESD		TPBG
PKD1P5-LOC105376752	TMEM217	RNF212	MEST		TPD52L3
PKD1P6-NPIPP1	TMEM221	RNF213	METAP1		TPI1P2
PKDREJ	TMEM229B	RNF216	METAP1D		TPM3P9
PKN2	TMEM232	RNF219	METRN		TPPP
PKN3	TMEM233	RNF219-AS1	METTL1		TPPP3
PKP1	TMEM242	RNF24	METTL17		TPRKB
PKP2	TMEM25	RNF34	METTL22		TPRX1
PKP3	TMEM252	RNF38	METTL23		TPSB2
PLA2G10	TMEM253	RNF8	METTL25		TPST1
PLA2G15	TMEM255A	RNFT1	METTL26		TPT1
PLA2G4B	TMEM255B	RNU11	METTL27		TPTE
PLA2G4D	TMEM266	RNU12	METTL2A		TRA2A
PLA2G4E	TMEM272	RNU5B-1	METTL3		TRAPPC6B
PLAC4	TMEM44-AS1	RNU5E-1	METTL5		TRARG1
PLAC8	TMEM50A	RNU5F-1	METTL6		TRIAP1
PLAC8L1	TMEM50B	RNU6ATAC	METTL7A		TRIM23
PLAC9P1	TMEM52	ROBO2	METTL7B		TRIM29
PLBD1	TMEM53	ROBO4	METTL8		TRIM38
PLCB4	TMEM61	ROCK1P1	MEX3A		TRIM39
PLCD1	TMEM63C	ROPN1L-AS1	MFAP2		TRIM39-RPP21
PLCD3	TMEM82	ROS1	MFAP4		TRIM41
PLCXD2	TMEM9	RP9	MFAP5		TRIM43B
PLCXD3	TMLHE-AS1	RPA1	MFF		TRIM52
PLD2	TMPO-AS1	RPAP3	MFGE8		TRIM60
PLEC	TMPRSS15	RPGR	MFNG		TRIM61
PLEKHA2	TMTC2	RPH3A	MFSD12		TRIM64C
PLEKHD1	TMX4	RPIA	MFSD13A		TRIM67
PLEKHF1	TNFRSF17	RPL13AP3	MFSD2B		TRIM7
PLEKHG6	TNFRSF4	RPL23AP87	MFSD3		TRIM74
PLEKHG7	TNFRSF9	RPL26L1	MFSD6L		TRIR
PLEKHM1P1	TNFSF12	RPRD2	MFSD9		TRMT10A
PLEKHO2	TNFSF13	RPS6KA5	MGAT4C		TRMT10C
PLGLB1	TNFSF4	RPS6KA6	MGC27345		TROAP
PLGLB1.1	TNIK	RPS6KC1	MGST1		TRPM6
